0 1
1 2
2 4
3 6
4 9
5 13
6 16
7 22
8 30
9 41
10 50
11 63
12 74
13 89
14 99
15 115
16 129
17 145
18 165
19 192
20 216
21 234
22 261
23 294
24 326
25 353
26 395
27 427
28 460
29 491
30 537
31 574
32 605
33 644
34 689
35 740
36 784
37 846
38 894
39 944
40 989
41 1053
42 1107
43 1146
44 1196
45 1256
46 1324
47 1383
48 1464
49 1528
50 1594
51 1653
52 1735
53 1805
54 1853
55 1914
56 1988
57 2072
58 2145
59 2244
60 2324
61 2406
62 2479
63 2579
64 2665
65 2722
66 2794
67 2882
68 2982
69 3069
70 3186
71 3282
72 3380
73 3467
74 3585
75 3687
76 3753
77 3836
78 3938
79 4054
80 4155
81 4290
82 4402
83 4516
84 4617
85 4753
86 4871
87 4946
88 5040
89 5156
90 5288
91 5403
92 5556
93 5684
94 5814
95 5929
96 6083
97 6217
98 6301
99 6406
100 6536
