1 3
3 8
5 16
7 25
9 49
11 72
13 100
15 125
17 159
19 212
21 258
23 321
25 385
27 469
29 524
31 620
33 675
35 785
37 890
39 992
41 1098
43 1200
45 1306
47 1451
49 1609
51 1719
53 1887
55 1962
57 2146
59 2317
61 2486
63 2652
65 2808
67 2954
69 3169
71 3399
73 3565
75 3805
77 3902
79 4156
81 4391
83 4628
85 4854
87 5064
89 5250
91 5535
93 5837
95 6059
97 6371
99 6490
101 6814
103 7113
105 7418
107 7704
109 7968
111 8194
113 8549
115 8923
117 9201
119 9585
121 9726
123 10120
125 10483
127 10856
129 11202
131 11520
133 11786
135 12211
137 12657
139 12991
141 13447
143 13610
145 14074
147 14501
149 14942
151 15348
153 15720
155 16026
157 16521
159 17039
161 17429
163 17957
165 18142
167 18676
169 19167
171 19676
173 20142
175 20568
177 20914
179 21479
181 22069
183 22515
185 23115
187 23322
189 23926
191 24481
193 25058
195 25584
197 26064
199 26450
